"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"desktop.ini"	".ini"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:46 IST"	"2014-02-27 01:50:46 IST"	"402"	"5001863"	"ecf88f261853fe08d58e2e903220da14"	"unknown"	"rr-xr-xr-x"	"/img_drive9.E01/Users/Admin/Documents/desktop.ini"
"desktop.ini-slack"	".ini-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:46 IST"	"2014-02-27 01:50:46 IST"	"3694"	"5001863"	"null"	"unknown"	"rr-xr-xr-x"	"/img_drive9.E01/Users/Admin/Documents/desktop.ini-slack"
"Important.doc"	".doc"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:46 IST"	"2014-02-27 13:58:54 IST"	"24064"	"5001865"	"2e3872298b53953b694fbf1b227f46fa"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Documents/Important.doc"
"Important.doc-slack"	".doc-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:46 IST"	"2014-02-27 13:58:54 IST"	"512"	"5001865"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Documents/Important.doc-slack"
"proposal.ppt"	".ppt"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:46 IST"	"2014-02-27 13:57:24 IST"	"11776"	"5001866"	"9089bd67267ac659d7bd7562b327a79c"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Documents/proposal.ppt"
"proposal.ppt-slack"	".ppt-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:46 IST"	"2014-02-27 13:57:24 IST"	"512"	"5001866"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Documents/proposal.ppt-slack"
"~$portant.doc"	".doc"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:46 IST"	"2015-10-08 22:22:02 IST"	"0"	"5001868"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Documents/~$portant.doc"
"job.doc"	".doc"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:46 IST"	"2014-02-27 14:58:30 IST"	"24064"	"5004165"	"bd54e7bcca7aec40ee1acccf87512ca9"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Documents/New Jobs/job.doc"
"job.doc-slack"	".doc-slack"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:46 IST"	"2014-02-27 14:58:30 IST"	"512"	"5004165"	"null"	"unknown"	"rrwxrwxrwx"	"/img_drive9.E01/Users/Admin/Documents/New Jobs/job.doc-slack"
"~$job.doc"	".doc"	"r"	""	"2015-10-10 00:00:00 IST"	"2015-10-10 23:07:46 IST"	"2014-02-27 14:58:30 IST"	"162"	"5004166"	"a1118210a36ce31189b01bbf4666c7ce"	"unknown"	"rr-xr-xr-x"	"/img_drive9.E01/Users/Admin/Documents/New Jobs/~$job.doc"
